,Año,Total
0,1989.0,298683.62
1,1990.0,371975.846
2,1991.0,456203.26300000004
3,1992.0,393208.564
4,1993.0,452039.674
5,1994.0,465846.655
6,1995.0,587488.683
7,1996.0,604804.7880000001
8,1997.0,587347.657
9,1998.0,461390.30399999814
10,1999.0,315652.658
11,2000.0,195171.42
12,2001.0,257987.3470000001
13,2002.0,363275.326999999
14,2003.0,336512.799
15,2004.0,419825.54299999913
16,2005.0,365064.76599999913
17,2006.0,355617.52699999994
18,2007.0,301690.8749999998
19,2008.0,263322.5100000001
20,2009.0,280677.57499999995
21,2010.0,281900.158
22,2011.0,287780.3480000002
23,2012.0,257983.38099999996
24,2013.0,276206.394
25,2014.0,262459.496
26,2015.0,266274.02800000005
27,2016.0,282953.743
28,2017.0,282187.272
29,2018.0,269610.75
30,2019.0,314325.918
31,2020.0,272465.002
32,2021.0,290928.303
33,2022.0,284681.662
