Total de exportaciones,Complejo pesquero,Sector bovino
13118,709,1400
15839.0,727.0,1853.0
20963.0,917.0,2451.0
23811.0,1011.0,2182.0
26431,1035,2238
26434.0,922.0,1904.0
23309.0,809.0,1916.0
26341.0,838.0,1871.0
26543,956,1392
25651.0,730.0,1515.0
29939.0,891.0,1666.0
34576.0,818.0,2504.0
40387,814,2933
46546.0,1250.0,3130.0
55980.0,1108.0,3236.0
70019.0,1304.0,3522.0
55672,1129,3230
68174.0,1344.0,3278.0
82981.0,1481.0,3945.0
79982.0,1340.0,3461.0
75963,1515,3673
68404.0,1584.0,3627.0
56784.0,1466.0,2761.0
57909.0,1701.0,2654.0
58645,1980,2964
61782.0,2155.0,3966.0
65115,1863,4830
54884.0,1730.0,4370.0
77934.0,1990.0,4772.0
88446.0,1823.0,5704.0
